Feature,Importance
osm_layer,0.38379305011478265
NO_ugm3,0.18285544189036
NO2_ugm3,0.1331822900243785
CO2_mgm3,0.08228300727422423
longitude,0.03958375148752586
osm_id,0.025853209298052203
CO_mgm3,0.023807027298970326
NOpoints,0.022598069177672077
latitude,0.02183192170458942
O3points,0.016108201261441215
NO2points,0.006969923567846653
osm_name_Whitebank Road,0.006277297607971492
COpoints,0.004916252383500797
O3_ugm3,0.004743859331339056
osm_fclass_residential,0.004159052975512078
osm_fclass_unclassified,0.002721786450280232
osm_maxspeed,0.002496009296218567
osm_name_Brookville Park,0.0024260215507664385
osm_name_South Bank Road,0.0023824781600931657
O3drives,0.0017874583612105235
osm_name_Pigeon House Road,0.0015754256620868403
PM25drives,0.0015673427202463276
NOdrives,0.0014325302768067858
COdrives,0.0012559121783602978
PM25points,0.0011855678411201614
osm_code,0.001145456050649076
osm_name_Dublin Port Tunnel,0.001058827116890691
osm_name_Stephen's Road,0.0009857658315333348
osm_name_Ash Street,0.0009379835551334223
osm_name_Rialto Drive,0.0008263931998416876
osm_name_Sheriff Street Upper,0.0007657295181853942
osm_name_Belmayne,0.0007343232479608236
osm_name_Grosvenor Court,0.0006820164747136547
osm_name_Corrib Road,0.0006306745557274873
osm_name_Bond Drive Extension,0.0006240198422287545
osm_name_Kylemore Industrial Estate,0.0006096148183460138
osm_name_Terminal Road South,0.0005412885591001706
osm_name_O'Leary Road,0.0005350485783858583
CO2points,0.0005345354372644758
osm_name_Ayrfield Court,0.0004931525184941447
osm_name_Tolka Quay Road,0.00048252022545929946
NO2drives,0.00047850010993055313
osm_name_Rathmore Villas,0.00041686999053802036
osm_name_Green Street East,0.0004148151293565046
osm_name_Belton Park Gardens,0.0004108530823290118
osm_name_Herberton Drive,0.0004050502744642252
osm_name_Grosvenor Road,0.0003924561436055729
CO2drives,0.00037732732418956506
osm_name_Custom House Quay,0.0003761505818750536
osm_name_Reuben Avenue,0.00035696306191281295
osm_ref_R131,0.0003440143170826136
osm_ref_R139,0.0003160467244581501
osm_name_Broome Lodge,0.00031061899007840964
osm_ref_R810,0.0002992923425822882
osm_name_Sean Moore Road,0.00028829026589922605
osm_name_Maryville Road,0.0002762875972582925
