Feature,Importance
osm_layer,0.3679732166149885
CO2_mgm3,0.09866843899780686
NO_ugm3,0.0984196679582963
NO2_ugm3,0.09344175130146348
longitude,0.05317797493496927
CO_mgm3,0.048124412754020775
osm_id,0.033705129895387556
latitude,0.028664462131750123
O3_ugm3,0.020913863389422492
NOpoints,0.017618569258056587
NOdrives,0.0076769547414192165
O3points,0.007228519643438337
NO2points,0.007149847598642434
CO2drives,0.007114791067974199
COpoints,0.007014540107425855
osm_fclass_unclassified,0.006918275923406342
PM25drives,0.006539627225178349
PM25points,0.006538310317103647
COdrives,0.006155379811395222
CO2points,0.006049093239538711
NO2drives,0.005836261634790571
O3drives,0.005609269673022259
osm_name_Whitebank Road,0.005517557181001059
osm_maxspeed,0.003961522670401075
osm_fclass_residential,0.002132339234009489
osm_name_Brookville Park,0.0018678901099535247
osm_code,0.001800781805159565
osm_name_Bond Drive Extension,0.0016602345123101852
osm_name_Pigeon House Road,0.0016431066271706295
osm_name_South Bank Road,0.00146643501681927
osm_oneway_F,0.001146106793284805
osm_oneway_B,0.0011160095500438194
osm_name_Custom House Quay,0.0010316932322261458
osm_name_Corrib Road,0.0009015037949748674
osm_name_Belton Park Gardens,0.0008893039823145618
osm_name_Malahide Road,0.000861872652300722
osm_name_Ash Street,0.0007987518627375885
osm_name_Belmayne,0.0007129350698348889
osm_name_Stephen's Road,0.0007072929205933339
osm_name_Grosvenor Court,0.0006905159695559771
osm_name_Herberton Drive,0.0006476917269797654
osm_name_Kylemore Industrial Estate,0.0006444862277835444
osm_name_Rialto Drive,0.0006443234431590456
osm_name_Grosvenor Road,0.0005305623470476862
osm_name_Ayrfield Court,0.0005181726977177425
osm_name_O'Leary Road,0.0005162341017734531
osm_name_Woodbine Park,0.0005040064698013183
osm_name_Charlemont,0.00047344577673627016
osm_name_Rathmore Villas,0.0004409078694426673
osm_fclass_service,0.00043899446496524584
osm_name_Blackhorse Grove,0.0004028607540555136
osm_name_Reuben Avenue,0.0003739327243231424
osm_name_Tonlegee Road,0.0003729096065139389
osm_name_Sheriff Street Upper,0.00033378616720692623
osm_name_Lawrence Grove,0.0003276577388931765
osm_name_Saint Brendan's Drive,0.00029868348211981494
osm_ref_R148,0.00029166597646109946
osm_name_All Saints Park,0.0002828069767443221
osm_name_Laburnum Square,0.00026994242952681197
osm_name_Geoffrey Keating Road,0.0002667938135465182
osm_ref_R101,0.00025442991556164036
osm_name_Claremont Park,0.00024310279675082385
osm_name_Shandon Mill,0.0002313368992559016
osm_name_Broome Lodge,0.00023102503116840425
osm_name_Terminal Road South,0.00022712895076375657
osm_fclass_secondary,0.00022618440332905086
osm_name_Lein Park,0.0002152890169444978
osm_ref_R131,0.00021290955510158124
osm_name_Eden Quay,0.00020141598947827238
osm_name_Drury Street,0.00019910587798036784
osm_name_Turlough Gardens,0.00019614239105172245
osm_name_Lincoln Lane,0.0001928000473231963
osm_name_Bunratty Road,0.00019018953986521956
osm_fclass_tertiary,0.00018297939685877056
osm_name_Kincora Avenue,0.0001828970751154163
osm_name_Green Street East,0.00018234562769496086
osm_name_Kickham Road,0.00018165081181774229
osm_name_Verschoyle Court,0.00017871227608236572
osm_name_Greenlea Road,0.00017401353518381956
osm_name_Malpas Terrace,0.0001730254212865795
osm_name_Donnybrook Manor,0.00017158813296072253
osm_name_Greenville Avenue,0.00017072212683357578
osm_name_Kilbarron Drive,0.0001702340282988904
osm_name_Marlborough Mews,0.00016950200294839864
osm_name_Riverside Park,0.00015920712945888317
osm_name_Airport Motorway,0.00015717568024123274
osm_name_Vavasour Square,0.0001484194696272985
osm_name_Muirfield Drive,0.0001463838244888407
osm_name_Grange Park Crescent,0.00014207356315217834
osm_name_Harcourt Terrace Lane,0.00014131415674277167
osm_name_Portland Close,0.00014095378344081705
osm_name_Holly Road,0.00014006573214148108
osm_name_Comyn Place,0.00013392751795198666
osm_name_Clonliffe Avenue,0.0001322064691188616
osm_name_Alexandra Road Extension,0.00013137663516929745
osm_name_Dolphin's Barn,0.00012627202029149567
osm_name_Rathdrum Road,0.00012536204304987083
osm_name_Coolrua Drive,0.0001245883043964441
osm_name_Harcourt Terrace,0.00012440705363666175
osm_name_Mellows Bridge,0.00012423173763291955
osm_ref_R110,0.0001241180834216431
osm_name_Convent View Crescent,0.00012172431493226316
osm_name_Dartmouth Walk,0.00012141940403948707
osm_ref_R139,0.0001204126403153306
osm_name_Beaupark Street,0.000120026486670123
osm_fclass_motorway,0.00011995315099352355
osm_name_Caledon Road,0.0001138362623355117
osm_name_Brookfield Road,0.00011357470205632393
osm_name_Carndonagh Drive,0.0001112699367131173
osm_name_Kirwan Street Cottages,0.00011002642201592498
osm_name_Merton Park,0.00010887443607957584
osm_name_Aughavanagh Road,0.00010470090133307346
osm_name_New Wapping Street,0.0001036930331417224
osm_name_Shanliss Way,0.00010309662165332574
osm_name_Townsend Street,0.00010053911891112038
osm_name_Toll Bridge Road,9.86114944087137e-05
osm_name_St Luke's Avenue,9.721335552493574e-05
osm_name_Grace Park Road,9.231218810051049e-05
osm_name_Robinhood Road,9.1103785989639e-05
osm_fclass_secondary_link,9.096782579678332e-05
osm_name_Grattan Parade,9.09091900902464e-05
osm_name_Parnell Avenue,9.074686571066189e-05
osm_name_Charlemont Place,9.009728919378538e-05
osm_name_Cromcastle Drive,8.940673206189171e-05
osm_ref_R810,8.898792798228366e-05
osm_name_Pearse House,8.889573746336568e-05
osm_name_Ship Street Great,8.866822183005111e-05
osm_name_Clancarthy Road,8.855659560863062e-05
osm_ref_M50,8.562030561883282e-05
osm_name_Madden Road,8.518987240238978e-05
osm_name_Cromcastle Green,8.398116756101185e-05
osm_name_Cabra Road,8.390592350659565e-05
osm_name_Maryville Road,8.094277574893296e-05
osm_name_Cathedral Court,8.093753042002153e-05
osm_name_Beechlawn Grove,8.009169601423342e-05
osm_name_Tolka Quay Road,7.985417111150867e-05
osm_name_Casino at Marino,7.668692008237795e-05
osm_name_Sean Moore Road,7.600252839083084e-05
osm_name_Bridgewater Quay,7.596178632834673e-05
osm_name_Irishtown Road,7.17275601655344e-05
osm_name_Castilla Park,7.048008911119683e-05
osm_name_Somerville Avenue,6.92778553119858e-05
osm_name_Hardwicke Lane,6.82597485328895e-05
osm_name_Halliday Square,6.761992406666786e-05
osm_name_Blackheath Court,6.761596826439374e-05
osm_name_Kilbarrack Grove,6.719649436906267e-05
osm_name_Kilshane Road,6.698730698280985e-05
osm_ref_R107,6.676823546491967e-05
osm_name_St Donagh's Road,6.586916181900274e-05
osm_ref_R804,6.527688426468153e-05
osm_name_Vernon Drive,6.474747980174237e-05
osm_name_Royal Canal Avenue,6.391167861968028e-05
osm_name_Phibsboro Shopping Centre,6.35749158458147e-05
osm_name_Elmwood Avenue Lower,6.173962686046573e-05
osm_name_Watermill Avenue,6.160815738248806e-05
osm_name_Wapping Street,6.147469940017662e-05
osm_name_Blackditch Road,6.139995067238952e-05
osm_name_Cathedral View Court,6.006630399343527e-05
osm_name_Francis Street,5.973944181260242e-05
osm_name_Allingham Street,5.895537568137318e-05
osm_name_Cuffe Lane,5.871124264075313e-05
osm_name_Sandford Gardens,5.685421259429294e-05
osm_name_Ratoath Estate,5.6768021035131186e-05
osm_name_Colliers Avenue,5.451305813415141e-05
osm_name_Kilbarrack Road,5.4117898513184805e-05
osm_name_Wilton Terrace,5.3886383322248494e-05
osm_name_Ratoath Road,5.3205554417485164e-05
osm_name_Marion Villas,5.229926106064473e-05
osm_name_Cabra Grove,5.221245480873568e-05
osm_name_Poolbeg Street,5.2056794390371894e-05
osm_name_Botanic Road,5.114041077262106e-05
osm_name_Asdill's Row,5.090341096795601e-05
osm_name_Chapelizod Bypass,5.005354244790154e-05
osm_name_Cork Street,4.971062506621136e-05
osm_name_Ardcollum Avenue,4.9586245312198976e-05
osm_name_Morehampton Lane,4.948222425997698e-05
osm_name_Naas Road,4.938350653691237e-05
osm_name_Glaslynn Apartments,4.92612214620517e-05
osm_name_Santry Villas,4.896380336809505e-05
osm_name_Herberton Road,4.884074016206845e-05
osm_name_Gracefield Court,4.878573853055009e-05
osm_ref_R118,4.803868945193143e-05
osm_ref_N50,4.799856276529253e-05
osm_name_Marguerite Road,4.790688163482092e-05
osm_ref_R138,4.783872793742194e-05
osm_name_Bishop Street,4.662615580753776e-05
osm_name_Long Mile Road,4.646022479224736e-05
osm_name_Clonshaugh Green,4.535709244252664e-05
osm_name_Glaunsharoon,4.423647704575417e-05
osm_name_Killester Park,4.4201000455123975e-05
osm_name_Ardlea Road,4.411942654198442e-05
osm_name_Riverside Drive,4.1866349000039624e-05
osm_name_Pembroke Lane,4.0717983181497374e-05
osm_name_Edenmore Park,4.0687299267215886e-05
osm_ref_R102,4.0538750103877514e-05
osm_name_Carnlough Road,4.0421829005622035e-05
osm_name_Ballygall Parade,3.9911154354809436e-05
osm_name_Lansdowne Road,3.9803496484536105e-05
osm_name_Merrion Road,3.9063394663708515e-05
osm_name_Dublin Port Tunnel,3.888351592918065e-05
osm_name_Windele Road,3.854612844630245e-05
osm_name_Arbutus Avenue,3.84056839092796e-05
osm_ref_R802,3.7925527782384474e-05
