osm_id,osm_code,osm_fclass,osm_name,osm_ref,osm_oneway,osm_maxspeed,osm_layer,osm_bridge,osm_tunnel,NO2points,NO2drives,NO2_ugm3,NOpoints,NOdrives,NO_ugm3,CO2points,CO2drives,CO2_mgm3,COpoints,COdrives,CO_mgm3,O3points,O3drives,O3_ugm3,PM25points,PM25drives,longitude,latitude,Observed_PM25,RF_Predicted_PM25,GB_Predicted_PM25,RF_Residual,GB_Residual
4934645,5114,secondary,South Circular Road,R811,B,50,0,False,False,167,27.0,12.807,188,33.0,6.926,164,31.0,801.766,189,33.0,0.408,58,27.0,50.302,194,33.0,-6.296773775847888,53.33578042279795,8.618,7.616449999999999,6.389093223132351,1.0015500000000017,2.2289067768676496
386014925,5141,service,,,B,0,0,False,False,2,2.0,14.802,3,3.0,23.531,3,3.0,791.413,2,2.0,0.368,0,,,3,3.0,-6.284199395849717,53.307570048803306,2.795,5.855870000000005,6.265464615560045,-3.060870000000005,-3.4704646155600454
368901441,5114,secondary,Harold's Cross Road,R137,B,50,0,False,False,167,18.0,18.532,273,23.0,23.094,224,24.0,828.172,271,24.0,0.385,67,17.0,52.892,275,24.0,-6.278830377861057,53.319330680078565,7.311,6.370073333333326,6.8022722840855545,0.940926666666674,0.5087277159144454
40564483,5141,service,,,B,0,0,False,False,133,32.0,36.975,163,40.0,23.993,141,38.0,829.964,162,41.0,0.434,54,21.0,34.689,152,41.0,-6.27849745,53.34283955,8.146,8.203209999999997,7.765433194615178,-0.057209999999995986,0.3805668053848228
4475731,5115,tertiary,Fitzwilliam Square North,,B,30,0,False,False,8,1.0,33.671,7,1.0,-2.817,8,1.0,868.963,7,1.0,0.375,3,1.0,53.706,8,1.0,-6.251342351698719,53.33568040689375,7.639,8.448469999999995,8.187118848788455,-0.8094699999999948,-0.5481188487884543
37721990,5114,secondary,Usher's Island,R148,F,50,0,False,False,599,58.0,41.001,598,60.0,60.719,672,67.0,904.193,761,71.0,0.493,228,58.0,40.806,771,70.0,-6.283772077525498,53.34650038083067,8.592,8.32171333333333,8.208279946501825,0.2702866666666708,0.38372005349817506
41052576,5122,residential,Charleville Road,,B,30,0,False,False,29,5.0,-18.867,31,5.0,-1.975,28,5.0,796.199,32,5.0,0.302,11,5.0,77.163,34,5.0,-6.268087817269785,53.32212759477325,3.609,4.039379999999997,4.905815915705572,-0.4303799999999969,-1.2968159157055723
539871128,5114,secondary,Sarsfield Road,R833,F,50,0,False,False,116,36.0,13.433,133,42.0,3.762,111,37.0,824.561,130,43.0,0.367,38,33.0,50.894,134,43.0,-6.3256622,53.3420297,7.119,6.7118166666666665,6.777270751768422,0.40718333333333323,0.34172924823157746
34146295,5114,secondary,East Wall Road,R131,B,50,0,False,False,381,44.0,37.989,492,51.0,45.522,446,50.0,838.025,500,55.0,0.495,140,44.0,36.816,522,54.0,-6.232968129278014,53.35716695428178,8.755,8.243863333333348,9.255993342490955,0.511136666666653,-0.5009933424909541
38480757,5122,residential,Ashington Rise,,B,30,0,False,False,12,1.0,-11.953,10,1.0,-10.146,10,1.0,782.582,12,1.0,0.259,5,1.0,86.857,12,1.0,-6.318534423267225,53.37350023260778,3.492,3.229159999999993,4.45236768627106,0.26284000000000685,-0.9603676862710602
255242182,5122,residential,,,B,50,0,False,False,0,,,1,1.0,-24.131,1,1.0,793.554,1,1.0,0.378,0,,,1,1.0,-6.3361491999999995,53.329424599999996,5.384,3.65780666666667,5.197687946049114,1.7261933333333301,0.18631205395088646
263068560,5122,residential,,,B,30,0,False,False,8,7.0,45.062,10,8.0,7.491,9,7.0,813.287,10,8.0,0.499,3,3.0,42.459,10,8.0,-6.303401347990308,53.39898626378423,8.85,7.492993333333337,7.3492563242964435,1.3570066666666625,1.5007436757035562
814341851,5134,secondary_link,Walkinstown Road,,F,50,0,False,False,7,7.0,2.131,11,10.0,14.575,11,9.0,804.362,12,10.0,0.399,2,2.0,50.34,12,10.0,-6.3281939000000005,53.323715199999995,4.477,5.406863333333333,4.9585864992907105,-0.9298633333333326,-0.4815864992907102
445337114,5134,secondary_link,,,F,50,0,False,False,45,3.0,37.623,45,3.0,-3.165,39,3.0,805.186,45,3.0,0.342,16,2.0,42.926,46,3.0,-6.219504720865204,53.39751928101818,6.335,6.957203333333328,8.276340548176716,-0.6222033333333279,-1.9413405481767159
22981118,5122,residential,High Park,,B,50,0,False,False,4,4.0,26.492,6,6.0,-6.349,5,5.0,862.173,6,6.0,0.536,1,1.0,24.477,5,5.0,-6.2408708771629025,53.379456103023436,8.242,8.547660000000002,7.606260087499836,-0.3056600000000014,0.6357399125001653
399506779,5141,service,,,B,0,0,False,False,9,9.0,50.203,12,12.0,22.822,12,12.0,811.997,12,12.0,0.432,3,3.0,32.913,13,13.0,-6.303549088488799,53.39893505233722,5.884,7.540893333333332,7.774433673725964,-1.6568933333333318,-1.8904336737259637
499570550,5141,service,,,B,30,0,False,False,2,2.0,18.45,2,2.0,-7.929,2,2.0,835.142,2,2.0,0.361,0,,,2,2.0,-6.22383835,53.3334584,13.184,6.86369,8.478930532002035,6.320309999999999,4.705069467997964
34406579,5122,residential,,,B,50,0,False,False,26,4.0,7.252,23,4.0,-18.281,17,3.0,780.53,26,4.0,0.318,10,4.0,41.2,27,4.0,-6.208848374763615,53.38942934691375,9.539,7.967410000000007,6.509352348853593,1.5715899999999925,3.0296476511464068
22960966,5141,service,,,B,50,0,False,False,1,1.0,73.147,3,3.0,56.658,2,2.0,788.94,3,3.0,0.385,0,,,3,3.0,-6.278848069357645,53.31084256202425,3.828,7.587570000000004,8.376693072464729,-3.759570000000004,-4.548693072464729
53086765,5114,secondary,Merrion Road,R118,B,50,0,False,False,530,16.0,21.234,902,18.0,16.252,791,18.0,827.376,908,18.0,0.409,197,16.0,42.63,948,18.0,-6.205553766620181,53.31634139893679,7.731,8.29481999999999,7.958847937921682,-0.5638199999999909,-0.22784793792168223
